# SignalUncertainties for simplified model based on squark+gluino production 
# with all open production modes (go go, sq sq, sq go, sq sq~) considered
# See further details in ATLSUSYSW-233
SAMPLE        FS        CROSSSECTION[pb]           K-Factor  FILTEREFF REL.UNCERT
373799         1         0.0003302035         1         1         0.35975047
373799         2         0.0000044962         1         1         0.71191955
373799         3         0.0031418310         1         1         0.11711033
373799         4         0.0005851419         1         1         0.27150675
373800         1         0.0000247225         1         1         0.53553275
373800         2         0.0000000252         1         1         0.88879415
373800         3         0.0020756426         1         1         0.16531366
373800         4         0.0004285367         1         1         0.31341649
373801         1         0.0000020195         1         1         0.64837247
373801         2         0.0000000000         1         1         0.80291958
373801         3         0.0015208780         1         1         0.16086339
373801         4         0.0003552176         1         1         0.32441193
373802         1         0.0000001368         1         1         0.74641912
373802         2         0.0000000000         1         1         0.00000000
373802         3         0.0011561225         1         1         0.15747326
373802         4         0.0003040671         1         1         0.33301804
373803         1         0.0248905911         1         1         0.21858800
373803         2         0.2890050825         1         1         0.18619680
373803         3         0.0005807630         1         1         0.19088547
373803         4         0.0000500604         1         1         0.43009340
373804         1         0.0057948326         1         1         0.25979105
373804         2         0.0104731744         1         1         0.30187793
373804         3         0.0006223859         1         1         0.18381471
373804         4         0.0000565081         1         1         0.41910883
373805         1         0.0014710160         1         1         0.30304541
373805         2         0.0006003678         1         1         0.46260587
373805         3         0.0006009793         1         1         0.17515346
373805         4         0.0000583309         1         1         0.41286965
373806         1         0.0003919795         1         1         0.35771417
373806         2         0.0000445117         1         1         0.62281803
373806         3         0.0005437486         1         1         0.16523362
373806         4         0.0000582261         1         1         0.41413375
373807         1         0.0001120254         1         1         0.41786304
373807         2         0.0000039809         1         1         0.74773489
373807         3         0.0004783786         1         1         0.15642539
373807         4         0.0000538389         1         1         0.41209677
373808         1         0.0000080286         1         1         0.58866275
373808         2         0.0000000219         1         1         0.90723911
373808         3         0.0003356048         1         1         0.20343577
373808         4         0.0000412229         1         1         0.43885781
373809         1         0.0000006004         1         1         0.69906012
373809         2         0.0000000000         1         1         0.83708378
373809         3         0.0002547747         1         1         0.19791747
373809         4         0.0000348084         1         1         0.44629956
373810         1         0.0000000350         1         1         0.78301656
373810         2         0.0000000000         1         1         0.00000000
373810         3         0.0001974802         1         1         0.19805619
373810         4         0.0000297402         1         1         0.45389544
373811         1         0.0081696236         1         1         0.26489749
373811         2         0.2961226355         1         1         0.18247882
373811         3         0.0000584153         1         1         0.22568941
373811         4         0.0000037293         1         1         0.60520903
373812         1         0.0019918790         1         1         0.31180840
373812         2         0.0110795095         1         1         0.28814823
373812         3         0.0000672167         1         1         0.22131110
373812         4         0.0000043952         1         1         0.59212532
373813         1         0.0005235615         1         1         0.36284721
373813         2         0.0006466288         1         1         0.44168162
373813         3         0.0000703637         1         1         0.21597860
373813         4         0.0000047860         1         1         0.58620039
373814         1         0.0001416064         1         1         0.41925870
373814         2         0.0000471193         1         1         0.61176116
373814         3         0.0000684785         1         1         0.21030302
373814         4         0.0000048934         1         1         0.58131899
373815         1         0.0000386920         1         1         0.48038827
373815         2         0.0000038743         1         1         0.75739451
373815         3         0.0000635115         1         1         0.20261354
373815         4         0.0000049171         1         1         0.58403435
373816         1         0.0000025298         1         1         0.64276714
373816         2         0.0000000196         1         1         0.92264852
373816         3         0.0000473342         1         1         0.24463802
373816         4         0.0000038817         1         1         0.59249917
373817         1         0.0000001687         1         1         0.74369515
373817         2         0.0000000000         1         1         0.86827454
373817         3         0.0000373832         1         1         0.24136519
373817         4         0.0000033735         1         1         0.60047473
373818         1         0.0000000080         1         1         0.80793644
373818         2         0.0000000000         1         1         0.00000000
373818         3         0.0000296455         1         1         0.23984015
373818         4         0.0000029269         1         1         0.60418083
373819         1         0.0009363776         1         1         0.36928649
373819         2         0.3058944599         1         1         0.17695113
373819         3         0.0000003198         1         1         0.35618522
373819         4         0.0000000134         1         1         0.86600001
373820         1         0.0002360158         1         1         0.42483943
373820         2         0.0119197158         1         1         0.26827461
373820         3         0.0000003993         1         1         0.35479517
373820         4         0.0000000163         1         1         0.86091694
373821         1         0.0000624689         1         1         0.48468787
373821         2         0.0007203443         1         1         0.40669262
373821         3         0.0000004653         1         1         0.35409155
373821         4         0.0000000191         1         1         0.85783023
