                        SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
susy.370623.NUHM2_m12_800.slha    123      0.0015416626   1.00000000    1.00000000   0.06537577
susy.370623.NUHM2_m12_800.slha    124      0.0000974637   1.00000000    1.00000000   0.06530325
susy.370623.NUHM2_m12_800.slha    125      0.6748686972   1.00000000    1.00000000   0.06282954
susy.370623.NUHM2_m12_800.slha    126      0.0001487367   1.00000000    1.00000000   0.06359830
susy.370623.NUHM2_m12_800.slha    127      0.3906074836   1.00000000    1.00000000   0.08243869
susy.370623.NUHM2_m12_800.slha    128      0.0000632347   1.00000000    1.00000000   0.07613879
susy.370623.NUHM2_m12_800.slha    133      0.0000021556   1.00000000    1.00000000   0.08808178
susy.370623.NUHM2_m12_800.slha    134      0.0000013753   1.00000000    1.00000000   0.08184458
susy.370623.NUHM2_m12_800.slha    135      0.0022215540   1.00000000    1.00000000   0.05781810
susy.370623.NUHM2_m12_800.slha    136      0.0000179127   1.00000000    1.00000000   0.06707128
susy.370623.NUHM2_m12_800.slha    137      0.0011306653   1.00000000    1.00000000   0.07974272
susy.370623.NUHM2_m12_800.slha    138      0.0000071002   1.00000000    1.00000000   0.07996818
susy.370623.NUHM2_m12_800.slha    144      0.0000033200   1.00000000    1.00000000   0.08521909
susy.370623.NUHM2_m12_800.slha    145      0.0001114849   1.00000000    1.00000000   0.06626951
susy.370623.NUHM2_m12_800.slha    146      0.0064128038   1.00000000    1.00000000   0.07356448
susy.370623.NUHM2_m12_800.slha    147      0.0000474513   1.00000000    1.00000000   0.07695978
susy.370623.NUHM2_m12_800.slha    148      0.0023333882   1.00000000    1.00000000   0.08950999
susy.370623.NUHM2_m12_800.slha    157      0.6240319555   1.00000000    1.00000000   0.07242344
susy.370623.NUHM2_m12_800.slha    158      0.0000960852   1.00000000    1.00000000   0.06651898
susy.370623.NUHM2_m12_800.slha    167      0.0000961123   1.00000000    1.00000000   0.06811969
susy.370623.NUHM2_m12_800.slha    168      0.0042577101   1.00000000    1.00000000   0.07239458
